1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_00600W_A	1105	2040	1058	719	497	543	1708	1024	701	996	276	610	863	965	1127	634	511	405
C1_00610W_A	3329	5051	2533	3000	1266	1205	4749	4708	1930	3359	962	1646	3647	3090	1876	3215	1315	944
C1_00620W_A	1266	1480	947	1158	408	404	1607	1637	823	1331	534	650	1407	939	930	1436	537	452
C1_00630W_A	689	604	135	77	151	106	722	793	95	125	140	147	792	566	173	59	256	89
C1_00640C_A	2786	11664	3534	6942	1034	2237	4605	7210	2527	10589	668	2162	4414	5599	4016	8468	1042	2036
C1_00650C_A	1658	2719	1752	2803	809	862	2245	2788	1382	2892	823	1086	1949	1879	1397	2890	912	873
C1_00660C_A	1040	1315	739	1005	415	356	1346	1292	606	1013	408	545	998	895	646	1082	465	387
C1_00670C_A	455	446	500	230	381	139	562	549	412	225	394	259	566	329	386	183	480	160
C1_00680W_A	325	473	350	286	3951	215	509	410	296	302	4384	380	581	362	413	270	7137	222
C1_00690W_A	705	674	376	109	256	224	737	745	242	195	171	357	634	570	263	156	268	256
C1_00700W_A	742	1220	628	863	97	516	712	1564	723	695	158	417	730	1157	613	744	73	480
C1_00710C_A	5405	12286	7074	3279	3657	3670	10859	6150	5814	3078	4123	5179	3675	4030	4402	4256	4116	3264
C1_00730C_A	2091	3127	1167	830	732	823	2761	3178	719	1193	611	1018	2460	2081	966	848	853	826
C1_00740C_A	3627	8589	2399	2653	1492	2085	5370	7495	1921	3703	1326	2464	5407	5826	2218	3035	1661	2144
C1_00750C_A	937	1112	1435	2046	569	448	1161	1490	927	2236	407	607	1380	1176	1237	2051	741	473
C1_00760W_A	544	784	476	517	276	264	752	633	384	600	226	354	654	611	473	582	278	269
C1_00770C_A	365	686	294	580	132	180	596	573	291	585	142	243	450	395	255	634	162	224
C1_00780C_A	1655	995	4205	3005	917	826	2743	567	2832	3106	650	996	1276	296	2721	3308	1017	676
C1_00790W_A	264	355	411	247	76	59	384	237	391	196	51	105	162	146	307	228	63	73
C1_00800C_A	2238	4900	1036	937	1006	1403	4119	3124	1085	977	1008	1884	2130	1915	1040	1010	922	1451
C1_00810W_A	452	894	307	397	125	115	760	631	248	416	78	138	305	280	297	322	118	130
C1_00820W_A	222	220	307	349	102	94	231	240	259	331	61	129	213	200	258	354	90	117
C1_00830W_A	119	220	420	221	99	112	190	210	267	374	86	150	207	176	333	278	104	132
C1_00840C_A	548	3092	831	378	368	449	2086	625	483	438	334	548	282	588	420	545	520	452
C1_00850W_A	278	357	1135	623	882	360	482	143	1123	551	1030	555	295	126	757	728	1204	312
C1_00860W_A	231	322	535	545	111	105	318	484	470	637	123	151	323	269	564	503	156	119
C1_00870W_A	1425	2423	1568	876	646	719	2198	1995	1243	1107	514	966	1759	1726	1175	944	752	685
C1_00880W_A	88	62	50	51	30	77	79	165	49	75	18	101	92	81	84	71	43	109
C1_00890W_A	590	789	444	521	198	192	701	1176	328	747	156	256	705	768	488	642	232	241
C1_00900W_A	639	2643	882	1280	565	1395	1240	1800	971	1677	878	1631	1317	1193	729	2197	651	1476
C1_00910W_A	224	279	322	170	157	177	357	239	306	268	151	200	322	231	252	224	148	151
C1_00920W_A	1237	1185	986	1031	572	475	1434	1435	685	1237	421	654	1293	928	1089	1006	661	482
C1_00930C_A	2790	5840	2775	3756	1123	1314	4171	5333	1758	4672	789	1790	4157	4509	2760	2820	1298	1417
C1_00940W_A	754	1451	662	886	352	627	1121	1090	636	978	425	662	864	928	626	1103	290	673
C1_00950C_A	409	1011	2659	1393	901	1451	1309	579	1919	1367	762	1716	453	1070	1794	2044	992	1355
C1_00960C_A	1036	2077	1426	2049	452	568	1572	1610	1032	2338	252	679	1266	1322	1226	1619	452	410
C1_00970W_A	110	219	139	78	40	73	134	208	129	77	54	114	143	162	108	103	54	69
C1_00980W_A	535	1168	425	438	161	310	670	1174	462	539	208	368	692	834	417	620	154	318
C1_00990C_A	2133	8701	1977	3184	1103	2582	3887	4663	1508	5084	967	2536	3078	3175	2133	3992	1199	2101
C1_01000C_A	429	758	385	415	174	212	615	578	280	474	111	259	451	465	348	403	146	187
C1_01010W_A	1053	2442	1073	1346	103	696	1323	2648	993	1452	189	550	1508	2010	1035	1388	89	687
C1_01030W_A	1939	8757	1217	1450	880	2104	4096	5143	1291	2259	1677	2612	3156	2920	1155	2128	1191	2524
C1_01040W_A	559	430	323	288	254	175	695	596	287	380	270	249	683	432	411	270	332	160
C1_01050C_A	1914	2450	1042	465	941	1001	2510	2819	944	690	994	1206	2771	2488	921	660	938	1026
C1_01060W_A	10420	14063	3974	3791	3137	4475	11430	18261	3756	4507	3281	5231	10857	11681	4221	4852	2820	4098
C1_01070C_A	277	669	476	378	155	215	571	463	385	461	136	268	279	325	325	539	152	202
C1_01080W_A	225	600	349	141	95	96	442	243	330	135	87	182	105	169	212	145	124	115
C1_01090C_A	802	1740	630	796	249	509	1067	1743	593	833	373	565	1033	1163	537	912	214	459
C1_01100W_A	1153	2254	1025	1766	727	701	1680	2245	628	2345	475	943	1793	1658	1210	1302	862	669
C1_01110C_A	1479	7273	997	1619	981	2366	3075	4613	856	2597	1125	2715	3025	3179	1036	2662	1131	2310
C1_01130W_A	621	2481	2191	6660	405	492	1227	1533	1520	8121	338	675	1036	1579	2357	8176	494	537
C1_01140C_A	869	3226	731	2651	480	241	1274	4016	495	3823	337	521	1338	3013	719	3568	559	443
C1_01150C_A	469	1909	538	683	275	741	743	1291	462	1159	281	763	832	1158	483	1097	230	598
C1_01160C_A	439	1724	759	1004	322	701	821	1084	700	1485	357	713	922	826	671	1787	295	608
C1_01170C_A	465	1621	1454	2590	184	523	971	623	1300	3473	242	476	758	770	1305	3636	185	424
C1_01180C_A	33	59	30	81	4	19	46	50	18	117	7	12	35	64	31	91	2	13
C1_01190C_A	713	1107	528	378	301	302	944	1221	427	420	243	460	749	748	416	383	307	325
C1_01200W_A	353	415	439	545	123	117	377	798	379	540	109	172	422	397	468	396	103	162
C1_01210W_A	1076	1133	896	432	1012	533	1548	1051	575	790	833	818	1389	622	1044	698	1460	570
C1_01220C_A	147	76	229	468	18	8	78	274	141	483	20	16	188	224	243	422	35	17
C1_01240W_A	309	412	169	137	184	126	407	420	129	180	198	172	533	424	172	146	206	129
C1_01250W_A	1558	2635	1267	1070	753	738	1794	3131	1007	1377	591	874	2516	2548	1259	1141	800	672
C1_01260C_A	248	284	196	287	81	76	302	396	185	314	70	134	233	227	203	287	83	91
C1_01270W_A	520	596	762	1008	195	192	577	838	677	964	187	363	518	563	731	921	249	260
C1_01280C_A	128	204	164	201	74	86	153	195	136	229	54	91	129	113	116	279	50	61
C1_01290C_A	468	441	843	363	209	169	572	725	560	547	199	268	540	365	744	361	316	191
C1_01300W_A	1861	2905	1161	837	842	938	2507	3242	1127	1003	1064	1351	2512	2290	1158	1060	974	1054
C1_01310W_A	6	15	7	11	3	4	6	10	5	15	1	7	4	11	4	10	1	2
C1_01320W_A	2859	5302	2470	2601	724	1651	3241	7051	2320	3019	946	1670	4544	4869	1852	2912	601	1414
C1_01330C_A	1309	5480	719	273	628	680	3433	1973	740	259	972	848	750	1256	443	386	682	657
C1_01340C_A	228	174	379	224	92	72	234	341	309	265	139	115	321	215	378	273	100	81
C1_01350C_A	18013	38571	7935	10143	6313	11312	26916	33703	6264	16279	6253	12240	27736	24745	9450	13633	6946	11079
C1_01360C_A	2869	2424	2141	1374	1704	860	2658	5504	1549	1903	1571	1846	3999	3577	2024	1183	2634	1440
C1_01370C_A	14999	30160	3251	5165	5272	9830	20811	29170	3914	6171	8310	11421	21286	20860	3436	6660	5209	10766
C1_01380C_A	528	2595	423	945	198	848	1145	1470	422	1518	292	740	1102	1079	489	1399	186	762
C1_01390C_A	624	1682	1663	2326	457	510	1317	1114	1363	2948	391	563	909	1091	1471	2270	454	514
C1_01400C_A	1181	2471	1325	928	720	506	1943	2075	1114	1253	674	701	1522	1428	1081	986	836	494
C1_01420C_A	495	1357	1359	1365	553	413	999	685	1020	1981	511	485	523	611	1221	1892	580	357
C1_01440C_A	10	3	58	50	2	3	6	4	54	49	4	3	2	6	45	50	4	2
C1_01450W_A	1560	2741	11413	13853	619	570	1862	3184	9129	17406	612	818	2237	2394	9055	18832	679	673
C1_01460W_A	1229	1347	1557	1682	700	544	1529	1650	1108	2023	539	714	1884	1421	1495	1302	861	481
