1-WT-0h-A431	1-WT-0h-A431-HSA	1-WT-24h-A431	1-WT-24h-A431-HSA	1-WT-3h-A431	1-WT-3h-A431-HSA	2-WT-0h-A431	2-WT-0h-A431-HSA	2-WT-24h-A431	2-WT-24h-A431-HSA	2-WT-3h-A431	2-WT-3h-A431-HSA	3-WT-0h-A431	3-WT-0h-A431-HSA	3-WT-24h-A431	3-WT-24h-A431-HSA	3-WT-3h-A431	3-WT-3h-A431-HSA
C1_11950W_A	96	59	448	389	14	7	60	205	331	388	20	9	97	121	413	304	31	14
C1_11960C_A	559	756	421	284	296	279	787	959	404	319	363	430	686	702	459	303	327	397
C1_11970C_A	454	740	475	588	162	127	640	941	377	628	146	206	648	619	395	491	234	179
C1_11980W_A	220	310	230	316	125	106	290	263	255	331	97	164	225	184	245	301	110	129
C1_11990W_A	22	80	78	625	126	278	47	39	91	563	147	521	110	180	104	494	138	578
C1_12000C_A	42	52	67	21	35	17	54	25	57	44	25	27	30	35	39	38	42	20
C1_12010C_A	274	658	4188	4669	814	502	680	286	2976	6758	614	764	262	229	3347	6066	886	356
C1_12020W_A	15	12	36	19	3	2	13	8	29	23	4	3	10	9	23	19	2	4
C1_12030W_A	9287	19163	1119	1151	2578	4171	13171	24223	969	1785	4045	5560	12016	11923	1123	1412	3730	5709
C1_12040W_A	0	1	0	3	0	2	4	3	0	2	1	3	0	1	1	3	0	0
C1_12050W_A	7718	10055	3048	2259	2647	2743	9547	13004	2307	3279	2230	3713	8998	7868	3222	2454	3359	2667
C1_12060C_A	239	312	123	33	49	60	308	277	79	69	46	95	203	138	75	60	49	67
C1_12070C_A	463	573	263	98	137	127	521	490	189	149	93	165	352	272	266	118	89	152
C1_12080W_A	432	663	725	501	198	138	620	794	558	563	146	235	408	497	668	368	169	212
C1_12090C_A	13	7	2	2	0	0	11	8	8	1	2	2	10	8	4	3	1	2
C1_12100C_A	664	633	1042	2293	187	164	783	1107	737	2407	181	202	981	716	868	1872	206	136
C1_12110C_A	116	194	144	71	48	103	154	185	129	76	76	124	121	118	103	87	51	89
C1_12120W_A	334	506	536	595	173	133	492	686	429	720	177	213	410	361	483	486	231	188
C1_12130C_A	258	937	560	1253	171	259	444	653	416	1842	121	251	428	568	592	1770	180	217
C1_12140W_A	219	247	659	531	128	63	244	214	359	749	53	79	292	258	568	638	112	40
C1_12150C_A	115	79	200	208	46	36	140	166	174	199	43	69	95	78	176	182	47	42
C1_12160W_A	529	531	1377	2537	178	83	610	1327	1234	1931	214	225	852	737	1017	2528	226	174
C1_12170C_A	444	625	454	352	227	180	494	681	371	445	198	269	564	570	462	400	207	213
C1_12180C_A	540	1089	478	187	533	492	804	640	307	207	359	580	662	783	363	233	414	449
C1_12190W_A	263	398	176	96	117	91	272	816	154	164	85	158	309	449	149	123	131	92
C1_12200W_A	2200	2942	923	329	700	485	2656	2327	699	504	656	733	1461	1124	669	360	888	517
C1_12210W_A	1993	3576	1469	1135	602	1042	2556	3632	1155	1511	566	1139	1803	2221	1301	1448	609	970
C1_12220W_A	594	1160	395	261	133	133	659	1281	306	345	185	175	476	677	279	361	169	176
C1_12230W_A	2709	5280	2519	4997	871	1047	3870	4640	1817	6490	436	1137	4421	4078	2729	4769	862	884
C1_12240C_A	625	865	252	253	99	310	624	1014	198	277	100	299	754	1016	242	193	78	257
C1_12250C_A	1098	1998	2147	2850	525	734	1605	2950	1543	3597	735	981	1292	1300	2319	2995	736	969
C1_12260W_A	141	187	376	414	90	69	158	337	320	404	71	125	211	228	278	405	66	97
C1_12270W_A	141	144	343	337	60	66	141	262	290	319	60	121	186	179	285	337	72	93
C1_12280C_A	534	948	386	591	149	404	552	1010	404	705	163	362	535	641	358	671	110	295
C1_12290C_A	1076	1445	1143	1433	295	315	1268	1932	915	1685	377	520	1135	902	1239	1463	394	396
C1_12300W_A	0	0	0	0	0	1	0	0	1	2	0	0	1	1	0	1	0	1
C1_12310C_A	521	2484	823	1020	460	1256	1081	1484	757	1661	631	1284	1018	973	757	1704	486	1273
C1_12320C_A	2543	5356	1266	928	804	1243	3200	5489	1123	1051	1098	1319	3594	4330	1212	1222	749	1571
C1_12330W_A	1	3	1	5	0	1	0	3	1	2	1	1	1	2	0	4	0	0
C1_12340C_A	2306	5644	1645	1880	562	1186	2927	5121	1446	2646	650	1231	2992	3797	1507	2441	556	1157
C1_12350W_A	1128	3880	1130	1550	616	1435	1928	2788	951	2442	672	1652	2094	1982	1171	2061	794	1512
C1_12360C_A	2479	1319	3671	1885	4788	382	3395	2334	2946	2247	3070	731	5780	2090	5730	2546	4996	598
C1_12370W_A	322	354	663	352	408	131	445	310	524	436	267	184	474	230	953	519	391	132
C1_12380C_A	2378	5037	1880	2356	1330	1771	3678	3707	1653	2932	1299	2236	3145	2961	1765	2616	1329	1786
C1_12390C_A	21685	46243	6258	9621	8387	14794	31777	42131	6887	11681	11237	18397	30716	30221	6841	12023	8849	17895
C1_12400C_A	269	365	207	126	119	116	427	462	184	200	158	164	533	460	194	171	162	169
C1_12410C_A	1592	2390	1261	944	769	596	2216	2988	1143	1612	900	890	2954	2840	1281	1054	1066	911
C1_12420C_A	58	96	50	39	23	19	63	114	37	54	31	30	101	96	36	34	27	30
C1_12430W_A	725	883	811	1065	309	261	839	998	594	1133	217	415	795	723	747	793	298	315
C1_12440W_A	116	684	299	228	95	248	249	371	262	346	163	246	308	311	225	367	132	218
C1_12450C_A	2110	4653	1500	3472	922	1499	3773	3460	1125	5440	726	1892	3609	3008	2372	3325	1218	1380
C1_12460C_A	15	45	21	58	10	16	27	41	8	61	9	22	35	51	19	51	2	11
C1_12470W_A	53	107	78	104	66	74	135	109	62	157	57	88	102	64	78	153	59	55
C1_12480W_A	120	223	146	174	67	147	156	188	172	186	52	143	161	180	131	207	58	118
C1_12490W_A	3130	3348	1639	619	1886	1248	3859	3981	979	1021	1180	1694	5028	3936	1593	716	2316	1263
C1_12510W_A	1570	2141	1683	1604	632	657	2289	1845	1080	1982	462	860	1414	1193	1466	1365	697	553
C1_12520W_A	380	635	673	810	276	218	575	749	579	811	164	344	596	545	539	704	283	189
C1_12530C_A	276	369	513	495	172	174	460	357	503	570	230	251	352	296	414	482	196	206
C1_12540W_A	302	318	146	182	111	152	273	543	174	173	120	181	333	357	149	207	102	169
C1_12550C_A	1904	4593	1603	1071	543	461	2565	4621	1340	1402	479	686	1926	2391	1197	1250	553	528
C1_12560C_A	9	12	5	2	1	2	11	8	1	4	0	3	7	14	5	4	2	2
C1_12570C_A	313	1354	695	941	289	615	658	691	518	1725	277	558	813	847	658	2054	304	524
C1_12580W_A	604	884	1097	1300	334	376	844	981	871	1490	265	448	884	704	846	1731	394	313
C1_12590W_A	3638	5783	1898	2044	1270	1900	4243	6470	1894	2153	1799	1968	3834	4163	1828	2407	1122	1820
C1_12600C_A	719	3621	1077	2991	569	1473	1550	1830	948	4206	722	1652	1512	1683	971	4405	631	1379
C1_12610W_A	1167	3008	1233	1810	366	1019	1641	2591	1155	2004	435	911	1471	2108	1056	2361	236	843
C1_12620W_A	3947	10806	3012	3651	1315	1518	6438	7492	1969	5370	973	1736	5114	5742	3170	3698	1601	1754
C1_12630C_A	154	206	357	403	107	150	169	238	293	335	102	209	249	224	196	584	99	149
C1_12640W_A	176	233	173	164	81	98	179	253	150	147	78	135	213	195	124	175	73	102
C1_12650C_A	530	754	679	859	327	311	701	901	663	764	352	429	719	641	623	881	319	384
C1_12660W_A	587	750	605	768	241	260	690	815	516	696	152	411	624	583	468	788	244	286
C1_12670C_A	154	585	162	97	89	167	316	299	124	238	83	163	347	318	225	138	111	185
C1_12680W_A	1693	6793	1784	2898	1201	2765	3007	4268	1839	4020	1474	3037	2975	2902	1725	4578	1439	2405
C1_12690C_A	69	133	93	57	35	52	132	92	90	55	37	43	65	60	72	61	39	53
C1_12700W_A	198	302	451	252	136	82	273	217	335	290	97	93	170	187	336	276	132	68
C1_12710C_A	524	655	687	1104	299	213	665	750	597	1249	234	344	689	620	601	1186	314	277
C1_12720C_A	6	0	8	8	4	1	6	6	4	21	5	2	15	6	9	12	5	6
C1_12730W_A	371	373	247	173	127	128	308	800	225	185	114	212	520	578	169	164	153	146
C1_12740W_A	633	1039	566	616	231	216	1049	1200	412	831	143	291	855	663	594	482	317	207
C1_12750C_A	247	854	626	1092	156	322	439	514	539	1214	143	367	413	459	534	1362	168	260
C1_12760W_A	920	2790	1039	1420	477	846	1581	1967	967	1492	586	1091	1378	1481	740	1824	471	898
C1_12770W_A	6003	15993	1345	3008	1450	2601	9700	12858	1240	4857	1005	2910	9743	10281	1891	3401	1864	2931
C1_12780W_A	690	768	695	424	486	554	797	868	564	636	366	635	1379	1126	557	562	506	481
C1_12790C_A	1338	4261	2915	3794	375	711	2755	1959	2800	4602	555	965	955	1148	2452	5831	418	631
C1_12800W_A	127	488	122	83	43	42	235	208	111	140	40	61	105	139	96	87	43	41
C1_12810W_A	635	1179	579	348	270	211	963	1109	402	378	304	288	851	693	401	389	325	237
C1_12820C_A	803	1979	1015	1871	477	1051	1170	1638	1035	2180	638	1230	1164	1196	899	2376	440	938
C1_12830C_A	814	1065	919	1064	218	245	945	1380	659	1449	128	357	948	991	900	903	258	259
C1_12840W_A	334	378	186	195	69	41	378	379	214	171	51	80	180	185	153	172	71	59
C1_12850W_A	3875	663	20427	10321	389	58	768	7722	18845	10255	613	375	2793	3504	19408	13262	614	397
C1_12860C_A	131	205	184	293	42	41	170	286	130	329	20	57	214	200	212	189	57	56
C1_12870C_A	65	72	48	61	15	16	49	120	28	74	4	10	70	57	69	52	20	12
C1_12880C_A	154	245	470	158	109	44	271	133	433	189	134	103	88	93	332	209	174	84
C1_12890W_A	131	135	179	97	89	146	104	175	150	147	99	153	266	277	185	142	111	124
C1_12900W_A	231	323	270	305	84	86	270	479	217	468	36	111	267	278	353	230	78	71
C1_12910W_A	159	226	1783	1083	83	164	183	885	1321	1747	124	148	59	166	1605	2193	68	172
C1_12920C_A	429	614	420	245	243	210	599	759	367	259	317	331	492	377	332	261	252	274
C1_12930C_A	74	90	250	95	29	23	65	73	161	121	19	36	48	72	172	100	23	29
C1_12940C_A	7	10	34	19	1	3	8	12	34	16	7	4	11	15	26	21	4	2
C1_12950W_A	472	1016	735	836	274	357	708	919	498	1136	185	448	653	673	727	806	293	280
C1_12960C_A	2785	4438	2242	2433	754	880	3503	4014	1562	3897	375	944	3097	3305	2694	2510	888	691
C1_12970C_A	869	1675	1379	2104	490	468	1483	1207	1216	2873	422	749	864	878	1329	3116	580	535
C1_13010W_A	825	2097	819	1064	223	473	1057	1895	524	1553	217	568	1245	1586	780	1349	249	464
C1_13020C_A	1808	1244	693	309	619	503	1854	1512	745	356	657	759	1342	760	571	518	583	603
C1_13030C_A	5279	7663	2175	2701	1663	2655	6605	7848	2054	3337	1317	2987	5434	4758	2052	2972	1499	2364
C1_13050W_A	26034	54609	7815	14633	9380	16479	35214	50066	8878	17326	11900	20940	34703	34877	7908	15950	9945	18022
C1_13060C_A	5142	14229	3011	3727	961	2710	6112	12944	2468	5417	901	2446	6914	9675	2937	4124	718	2046
C1_13070C_A	903	3584	79	320	129	776	1650	3451	94	638	470	831	2038	1861	75	454	174	1098
C1_13080W_A	0	1	10	9	2	0	0	0	9	62	0	0	1	0	26	18	0	1
C1_13090W_A	2	1	37	120	0	2	2	0	30	81	0	1	2	3	40	99	1	0
C1_13100W_A	1148	2048	13578	17930	288	247	2036	588	13588	15124	327	217	1001	658	11308	22779	300	239
C1_13110C_A	6278	11821	4650	8400	1507	2572	8981	9800	3705	10145	1418	3044	7208	6957	4608	7158	1670	2244
C1_13120C_A	1569	1748	777	372	576	589	1773	1623	541	518	445	822	1224	1237	670	403	675	603
C1_13130C_A	1293	3490	2413	2053	712	1130	1372	2890	1770	3054	521	1272	782	1317	3367	2686	711	842
C1_13140C_A	4392	7516	2829	3778	453	335	3861	13733	2560	5984	393	1609	4050	6155	3277	9152	811	1017
C1_13150W_A	4	3	0	3	0	1	5	7	1	4	0	4	7	2	0	1	0	3
C1_13160W_A	2045	538	3199	2439	1263	364	1263	1322	2698	3634	1065	681	3222	1519	3590	3197	1643	344
C1_13170C_A	3422	12705	2010	730	1137	847	8666	3699	1430	1047	1114	1128	1473	2260	1243	899	1438	965
C1_13180W_A	23	28	41	22	4	6	52	15	42	26	6	7	10	13	42	17	2	4
C1_13190W_A	7849	6155	7330	6171	1125	2483	5296	10261	7842	6752	1453	2795	6402	6398	7557	7848	758	2452
C1_13200C_A	120	365	207	136	76	182	200	268	174	185	64	145	186	208	167	163	59	154
C1_13210C_A	23	46	49	76	15	19	28	93	43	86	27	32	35	36	56	86	18	24
C1_13220C_A	1210	2009	1166	1196	532	460	1590	2068	862	1755	371	592	1648	1423	1354	1333	627	401
C1_13240W_A	312	365	543	1043	104	84	289	613	334	1416	60	126	304	347	434	1324	90	86
C1_13250W_A	1848	3429	1694	3917	200	332	2648	4219	1445	4088	249	363	2521	2448	1705	3826	277	354
C1_13260W_A	1204	1581	526	413	495	529	1217	2059	571	499	724	742	1406	1482	513	472	572	760
C1_13270W_A	629	602	712	412	515	369	585	947	577	462	682	699	799	552	630	543	706	716
C1_13280C_A	2133	3396	1864	1844	818	1064	3159	2755	1720	1834	821	1353	2496	2222	1458	1788	864	879
C1_13290W_A	1	5	13	15	1	2	7	8	14	14	1	3	4	7	17	13	0	2
C1_13300C_A	6140	9171	3105	2468	2047	2241	7667	10755	2242	3766	1441	2809	7417	6910	3646	2748	2611	2150
C1_13310W_A	255	455	205	302	110	166	342	483	163	418	67	164	309	361	213	303	101	127
C1_13320C_A	1107	2049	982	1233	381	595	1874	1980	671	1252	191	631	1330	1967	819	1291	321	434
C1_13330C_A	1449	2815	1886	3866	581	772	1814	2333	1683	4964	483	941	1991	1993	2141	4804	638	778
C1_13350W_A	2280	4941	3113	9497	512	727	3216	5403	2280	11098	400	1057	3176	4001	3400	10394	788	714
C1_13360C_A	165	352	319	584	110	211	220	294	300	663	63	180	363	292	228	723	83	128
C1_13370W_A	580	1484	709	1060	335	651	940	1039	696	1265	402	785	851	752	561	1361	331	624
C1_13380W_A	178	307	353	524	98	118	253	285	273	647	79	155	262	305	253	750	67	120
C1_13390W_A	111	203	191	191	55	105	132	193	131	339	63	111	214	170	159	263	94	75
C1_13400C_A	1279	2438	3752	4663	577	507	1816	2607	2541	7600	347	616	1462	1804	3834	6826	550	398
C1_13410W_A	443	742	794	1087	152	276	408	1120	788	1066	176	321	510	697	667	974	175	236
C1_13420C_A	3109	5508	1203	1351	733	827	4194	5568	834	2183	395	1068	4648	4529	1504	1349	931	976
C1_13430C_A	62	34	826	605	90	7	89	49	496	845	90	26	212	55	1052	578	177	14
C1_13440C_A	2	4	54	5	1	1	2	0	30	34	0	2	0	2	41	11	3	0
C1_13450W_A	857	966	17013	1180	223	338	1297	353	10349	1505	201	629	478	291	6577	2077	263	301
C1_13460W_A	21	16	19	24	6	2	27	43	11	45	2	6	13	8	21	40	7	3
C1_13470W_A	330	275	482	620	130	46	414	412	346	673	75	92	392	187	499	525	145	77
C1_13480W_A	35953	10139	17238	29285	8668	4545	13444	26461	13325	33060	3171	3110	47846	38794	21276	28410	5008	2044
C1_13490C_A	433	472	456	263	215	232	488	556	279	316	156	280	512	431	320	264	231	191
C1_13510C_A	401	706	298	402	147	167	610	560	197	440	87	280	357	385	270	385	156	148
C1_13520C_A	274	733	384	343	116	258	379	822	309	399	149	300	473	564	281	434	142	242
C1_13540W_A	508	557	920	540	272	292	622	661	698	575	186	376	758	753	684	469	264	275
C1_13550C_A	1391	2860	1325	1596	651	1161	1890	2259	1050	1916	475	1253	1823	1767	929	1991	722	844
C1_13560W_A	276	642	575	784	174	220	503	396	486	844	122	261	376	359	350	911	161	213
C1_13570W_A	606	916	356	311	210	190	919	1048	227	485	182	251	945	764	399	316	287	228
C1_13580W_A	4937	3345	1459	946	1157	958	4887	5633	1052	1128	958	1458	4242	2770	1208	996	1345	989
C1_13590W_A	4	8	32	10	4	4	8	7	14	21	1	13	16	13	30	13	4	6
C1_13600W_A	8	5	28	7	8	7	5	9	13	12	3	9	15	19	22	4	3	5
C1_13610C_A	2702	2048	1574	2171	382	278	2553	4461	1142	3135	289	422	3245	2137	2051	2024	556	338
C1_13620W_A	29589	21359	5814	6719	1809	2026	23013	49491	3912	8790	1239	3313	34594	24813	4678	5439	2654	2493
C1_13630W_A	23	17	281	493	13	45	7	32	304	631	15	48	26	18	376	520	10	34
C1_13640W_A	779	1873	1243	2512	389	604	1281	1489	1081	3137	321	758	1283	1319	1294	3205	417	650
C1_13650C_A	425	461	714	515	283	250	454	746	611	583	262	353	543	426	619	488	331	280
C1_13660W_A	386	1588	411	164	197	248	1029	452	278	219	158	257	190	279	218	174	265	191
C1_13670W_A	176	78	309	254	17	28	65	363	244	432	7	34	324	322	632	250	12	27
C1_13680C_A	1936	3459	2095	1764	1334	2351	1579	6960	2011	2370	1878	3354	2123	4051	2257	2472	1375	3194
C1_13690C_A	1479	2192	1475	2193	665	671	1723	2896	1241	2400	586	970	1764	1747	1504	2323	812	670
C1_13700W_A	50708	72964	12589	8993	15347	17734	66457	72145	11193	9918	16274	24817	57687	54915	10178	10682	15398	18540
C1_13710C_A	147	144	134	104	62	58	184	132	138	72	80	91	68	72	91	104	54	60
C1_13720W_A	1734	3809	1334	1775	967	1651	2324	2730	1020	2187	734	1533	2362	2403	974	2018	691	1144
C1_13730C_A	436	2235	565	798	287	790	988	956	530	1580	322	684	810	732	560	1641	298	562
C1_13740W_A	592	645	604	302	354	252	951	488	457	476	238	373	644	359	554	307	477	259
C1_13750C_A	68	167	383	506	44	82	101	174	360	406	43	91	128	133	298	528	59	65
C1_13760W_A	1863	2005	1302	602	817	896	2024	1743	917	721	604	1046	1603	1486	853	650	875	771
C1_13770C_A	143	262	181	90	83	123	212	288	124	87	42	108	188	188	96	104	63	72
C1_13780W_A	7046	10642	3043	3793	1369	1627	10646	8171	1980	5482	1169	2019	6279	4112	3666	3198	1815	1781
C1_13790C_A	328	449	382	401	239	305	270	558	351	385	293	438	423	461	344	417	228	357
C1_13800C_A	167	222	260	205	53	49	170	240	191	251	33	74	175	169	248	205	39	60
C1_13810W_A	607	769	2819	3259	581	600	712	999	1856	3629	326	866	869	664	2455	4280	646	545
C1_13820C_A	458	1815	1274	2535	255	577	963	1012	1025	4019	276	548	1022	989	1282	3819	272	482
C1_13830C_A	6283	11826	1937	2117	2719	2825	9485	8482	1847	2291	2609	3672	6419	6680	1989	2241	3071	2894
C1_13840W_A	1862	1546	3794	6999	696	348	1828	2601	3355	7432	703	609	2127	1567	3518	6626	778	464
C1_13850C_A	25	24	24	33	6	1	24	46	11	42	3	3	21	20	29	26	4	1
C1_13860C_A	30279	40511	7856	3238	22128	14890	41549	33900	6134	5465	19574	22822	50647	42493	8188	4992	25593	16100
C1_13870W_A	17	359	13	41	258	284	251	25	12	97	987	646	221	366	10	27	737	850
C1_13880C_A	645	1592	2771	8747	265	361	1023	1343	1791	11571	237	379	1083	1224	3196	9023	262	389
C1_13900C_A	2851	6849	2585	2271	954	1289	4865	5321	2101	2997	979	1561	3248	3397	2309	2290	1051	1146
C1_13910C_A	351	315	521	319	152	114	359	684	457	394	155	165	640	476	444	390	168	130
C1_13920W_A	1115	1245	697	615	547	419	1203	1503	627	701	500	655	1252	1265	518	834	488	472
C1_13930W_A	1072	2192	1690	2811	292	322	1503	2324	1105	3817	205	408	1786	1722	1627	3127	379	328
C1_13940W_A	5913	35610	978	5684	299	1939	9180	23021	1397	9191	554	2778	9802	18726	1249	8041	522	2877
C1_13950C_A	147	101	125	108	106	87	150	156	138	117	101	120	185	150	123	139	86	82
C1_13960W_A	1498	1917	926	1017	655	717	1762	2235	837	1208	537	901	1659	1505	930	1215	613	715
C1_13970C_A	732	1121	634	657	251	312	1012	1174	547	894	211	341	975	845	489	796	264	252
C1_13980C_A	286	416	500	464	135	147	333	590	390	685	105	151	340	313	523	486	152	120
C1_13990W_A	166	265	152	139	115	89	232	289	125	125	89	126	227	228	110	115	99	100
C1_14000C_A	485	712	337	405	250	173	713	840	217	688	169	277	654	496	499	441	345	205
C1_14010W_A	0	0	0	1	0	0	0	0	2	3	0	0	1	0	3	2	0	0
C1_14020W_A	21	14	22	35	6	4	16	31	19	47	2	4	19	23	20	31	3	1
C1_14030W_A	622	602	525	513	312	188	670	945	466	701	241	225	652	501	645	525	384	190
C1_14040W_A	1103	1637	974	836	422	382	1371	2087	844	972	447	637	1260	1312	923	786	434	522
C1_14050C_A	929	2295	1820	989	391	265	1641	1567	1276	1484	237	405	1063	1108	1766	966	418	257
C1_14060W_A	1128	847	8161	3947	2926	565	1201	1227	5722	7126	1186	732	2804	2051	8775	4874	2775	445
C1_14080W_A	2452	11632	1965	3387	1640	3687	4596	5983	1744	4874	2080	3993	4861	4620	2750	3835	1991	4483
C1_14090W_A	2570	4602	1486	1586	828	1583	2380	4995	1434	1710	706	1347	2679	4190	1490	1984	410	1188
C1_14100W_A	995	1204	1036	1344	479	386	1232	1327	1020	1497	453	564	991	762	1006	1598	503	455
C1_14110C_A	42382	92030	10998	17553	12643	20705	60375	92613	9570	23098	13086	25236	58488	63641	11205	19522	14355	21454
C1_14120C_A	52	150	6	43	18	49	75	102	8	78	18	187	280	401	11	36	19	247
C1_14130W_A	6230	15076	37050	29860	9719	3742	11009	6278	25601	44967	6670	9932	6074	3703	43166	41504	10781	3659
C1_14140C_A	3631	9220	1823	3108	1091	1316	6314	7883	1369	3802	671	2657	4022	3044	2228	2195	1604	2037
C1_14150C_A	996	2357	1126	2018	272	519	1292	2274	998	2244	294	517	1277	1398	1030	2357	225	466
C1_14160W_A	643	2298	260	439	288	714	1065	1366	281	704	321	693	1191	1308	234	610	302	622
C1_14170W_A	2856	5058	1942	1450	1355	1168	3990	4455	1563	1637	1167	1410	3000	2611	1545	1568	1429	951
C1_14180W_A	28	53	139	396	52	37	32	105	129	459	37	56	88	75	161	394	56	42
C1_14190C_A	108	249	510	1347	69	33	105	377	534	1216	66	110	112	367	627	1600	80	79
C1_14200W_A	413	649	519	536	280	216	565	753	471	501	370	355	468	507	465	620	312	247
C1_14210C_A	2428	3504	987	1208	534	443	2866	4173	777	1417	390	683	2210	2507	751	891	603	460
C1_14220C_A	1220	2193	2335	1795	472	1322	1401	3262	1935	2283	702	1204	2174	1821	2012	1683	652	995
C1_14230C_A	1449	5486	1118	589	456	401	3775	2072	845	824	382	510	775	1136	854	496	539	453
C1_14240W_A	1846	4880	1559	1892	754	1042	3373	2918	1361	1969	636	1431	2058	2433	1184	1776	667	969
C1_14250C_A	491	976	557	1156	188	281	544	1426	400	1467	110	313	862	1222	573	1218	158	255
C1_14260C_A	5250	11873	2817	4065	2145	3342	7343	9563	2589	4868	1941	3931	7459	7506	2206	4564	2161	2986
C1_14270W_A	230	427	219	117	115	160	371	365	187	201	121	205	316	298	214	184	124	178
C1_14280C_A	10983	19047	2953	3561	2916	4449	12761	26531	2730	5035	3745	7172	20194	16863	2536	4952	4903	5162
C1_14290C_A	5729	8718	5499	7661	2736	3737	9675	8515	3642	11883	1556	4121	10971	11706	6022	8441	3241	2978
C1_14300C_A	1492	1637	2881	1296	1098	360	1865	2612	1994	1802	1007	670	3405	2263	2534	1370	1737	559
C1_14310W_A	928	2636	421	200	343	342	1556	1587	345	304	320	371	792	920	382	280	367	276
C1_14320C_A	1148	1917	904	299	660	512	1192	2607	570	474	404	523	1387	1784	987	407	632	468
C1_14330W_A	287	658	669	695	185	246	316	835	464	956	105	293	443	588	604	823	132	203
C1_14340C_A	2544	6924	5375	15607	1147	939	4997	4660	3738	20332	613	1110	4940	4704	6543	18868	1268	804
C1_14350W_A	532	1108	755	2723	261	287	596	1546	728	2253	313	505	513	920	755	2674	317	385
C1_14360C_A	533	665	711	747	349	260	669	809	449	1009	181	330	747	723	602	711	372	176
C1_14370W_A	31	8	6	13	5	1	19	44	17	14	5	4	37	25	11	15	11	1
C1_14380C_A	621	1763	734	1128	293	404	1022	1471	512	1878	206	328	1093	1205	905	1480	270	304
C1_14390W_A	373	851	258	255	193	316	639	778	290	303	315	392	569	531	306	415	201	428
C1_14400C_A	448	948	793	998	190	235	705	898	446	1434	113	238	772	819	810	1172	194	172
C1_14410W_A	1929	2975	792	843	679	1008	2389	3138	844	943	827	1220	2368	2365	822	991	775	897
C1_14420W_A	2119	1843	609	383	690	692	2219	2411	393	567	398	848	2444	1685	478	463	863	495
C1_14430C_A	518	1206	446	257	308	307	871	1130	227	384	193	302	782	1051	353	332	323	263
C1_14440C_A	6629	9413	3039	1844	3755	3372	9360	7976	1996	2293	2398	4137	8892	7575	2077	2232	3840	2158
C1_14450C_A	2544	6718	1254	1330	1014	1394	4217	5423	814	1664	479	1337	4039	4514	974	1511	1182	812
C1_14460W_A	5814	7210	2797	2056	2430	2436	6360	8294	2149	2540	1938	3198	6377	5633	2094	2255	2665	1694
C1_14470W_A	1595	2635	978	819	643	776	1733	2537	648	782	349	1077	1930	2192	576	706	816	447
C1_14480W_A	328	487	209	144	126	148	299	464	138	139	58	231	345	357	124	158	185	98
C1_14490C_A	287	549	210	241	151	168	388	534	153	436	58	158	447	420	264	402	165	138
C1_14500C_A	3791	6737	1810	1916	1273	1415	5026	6721	1386	2617	1316	1822	5095	5078	1665	2345	1614	1329
C1_14520W_A	6025	9869	3578	4533	1669	2523	5802	11008	2398	4504	723	2736	7670	7726	2183	4294	1862	1054
C1_14530W_A	3052	2742	1738	1244	959	1052	2870	3834	1659	1533	1054	1447	3057	2474	1876	1637	1006	938
C1_14550C_A	385	496	852	806	181	138	458	612	718	810	151	253	607	471	732	678	198	163
C1_14560C_A	982	1260	505	590	259	260	1168	1797	349	845	245	330	1373	1155	613	578	405	276
C1_14570C_A	300	379	210	186	97	97	318	514	148	272	70	126	408	348	227	214	129	90
C1_14580C_A	259	372	179	167	86	83	315	510	137	263	68	119	404	315	208	202	110	93
C1_14590C_A	311	641	184	284	228	332	383	412	166	383	210	417	386	671	255	285	220	352
C1_14630C_A	189	370	86	114	37	116	215	329	57	217	26	122	375	440	96	136	45	154
C2_00010W_A	551	968	333	317	616	826	639	698	267	438	330	857	694	875	365	336	448	614
C2_00030W_A	1023	4695	1053	1658	551	1093	2199	2422	734	3045	341	853	2129	2386	1329	2719	481	775
C2_00050C_A	0	2	3	4	1	0	1	2	2	5	0	0	7	1	4	2	1	0
C2_00060C_A	5259	8380	1287	1418	1666	1970	6889	6934	935	1871	774	2060	5881	5712	904	1629	1568	867
C2_00070C_A	2380	10845	2935	5400	1380	3152	4426	6267	2131	6811	940	3175	4907	4427	2338	7172	1578	1931
C2_00080C_A	365	818	419	188	131	190	572	589	301	285	105	232	496	427	292	234	183	141
C2_00090W_A	337	698	236	203	146	189	472	579	189	266	128	242	540	553	189	268	140	157
C2_00100C_A	2738	3948	2714	3146	1446	1140	3615	4351	2570	2983	1359	1788	3895	3248	2200	3030	1652	1244
C2_00110W_A	268	446	232	307	112	135	352	485	189	400	121	150	400	356	248	441	132	123
C2_00120C_A	2502	5312	2983	3890	852	1023	4002	4190	2269	5535	636	1237	3245	3514	2930	4082	1041	885
C2_00130W_A	84	300	117	231	25	28	176	93	82	378	4	23	117	97	105	231	10	26
C2_00140W_A	2155	11720	3051	6646	732	1615	6242	4594	2065	10686	467	1278	3836	4758	3495	9814	731	1158
C2_00150W_A	503	766	794	1743	89	295	521	1140	600	2005	92	212	910	840	643	1892	60	172
C2_00160C_A	1668	3819	1440	1714	695	861	2368	3089	1319	2313	618	984	2209	2791	1365	2580	542	606
C2_00170C_A	2018	7352	988	1986	938	2030	3546	4445	826	2820	907	1977	3200	3436	1025	2479	886	1657
